transaction_id,date,product_id,quantity,discount
1,2024-01-02,P10,1,0.03
2,2024-01-02,P1,2,0.13
3,2024-01-02,P15,2,0.13
4,2024-01-02,P13,2,0
5,2024-01-02,P5,1,0.18
6,2024-01-02,P4,4,0.01
7,2024-01-02,P9,1,0.07
8,2024-01-02,P12,1,0.05
9,2024-01-02,P2,2,0.02
10,2024-01-02,P10,1,0.16
11,2024-01-02,P4,2,0.06
12,2024-01-02,P10,1,0.09
13,2024-01-02,P13,1,0
14,2024-01-02,P1,1,0.01
15,2024-01-02,P15,3,0.1
16,2024-01-02,P12,1,0.1
17,2024-01-02,P12,1,0.11
18,2024-01-02,P5,2,0.06
19,2024-01-02,P6,2,0.06
20,2024-01-02,P14,1,0.17
21,2024-01-02,P9,1,0.15
22,2024-01-02,P8,1,0.1
23,2024-01-02,P6,1,0.05
24,2024-01-02,P14,1,0.05
25,2024-01-02,P8,1,0.07
26,2024-01-02,P1,1,0.14
27,2024-01-02,P5,3,0.1
28,2024-01-02,P1,1,0.06
29,2024-01-02,P15,1,0.07
30,2024-01-02,P8,1,0.06
31,2024-01-02,P15,1,0.14
32,2024-01-02,P15,1,0.13
33,2024-01-02,P14,1,0.07
34,2024-01-02,P12,1,0.15
35,2024-01-02,P13,1,0.15
36,2024-01-02,P1,1,0.05
37,2024-01-02,P14,1,0.09
38,2024-01-02,P11,1,0.15
39,2024-01-02,P8,1,0.12
40,2024-01-02,P1,1,0.14
41,2024-01-02,P13,1,0.11
42,2024-01-02,P4,1,0.14
43,2024-01-02,P4,2,0.06
44,2024-01-02,P14,1,0.03
45,2024-01-02,P11,1,0.18
46,2024-01-02,P14,1,0.05
47,2024-01-02,P11,2,0.11
48,2024-01-02,P11,2,0.17
49,2024-01-02,P12,1,0.18
50,2024-01-02,P8,1,0.08
51,2024-01-02,P14,5,0.09
52,2024-01-02,P3,1,0.12
53,2024-01-02,P6,2,0.02
54,2024-01-02,P13,3,0.02
55,2024-01-02,P7,1,0.13
56,2024-01-02,P13,1,0.06
57,2024-01-02,P6,3,0.09
58,2024-01-02,P8,1,0.09
59,2024-01-02,P4,3,0.04
60,2024-01-02,P5,1,0.2
61,2024-01-02,P9,1,0.06
62,2024-01-02,P11,1,0.14
63,2024-01-02,P2,1,0.09
64,2024-01-02,P13,3,0.14
65,2024-01-02,P13,1,0.08
66,2024-01-02,P2,5,0.13
67,2024-01-02,P1,1,0.03
68,2024-01-02,P11,2,0.1
69,2024-01-02,P2,2,0.14
70,2024-01-02,P5,1,0.11
71,2024-01-02,P2,1,0
72,2024-01-02,P3,1,0.05
73,2024-01-02,P5,1,0.09
74,2024-01-02,P7,1,0.08
75,2024-01-02,P4,1,0.09
76,2024-01-02,P13,2,0.14
77,2024-01-02,P1,1,0.17
78,2024-01-02,P14,1,0.15
79,2024-01-02,P2,1,0.1
80,2024-01-02,P4,1,0.11
81,2024-01-02,P12,1,0.15
82,2024-01-02,P9,3,0.13
83,2024-01-02,P7,1,0
84,2024-01-02,P13,1,0.14
85,2024-01-02,P15,1,0.09
86,2024-01-02,P15,4,0.09
87,2024-01-02,P8,1,0.19
88,2024-01-02,P3,5,0.13
89,2024-01-02,P6,1,0.09
90,2024-01-02,P12,1,0.03
91,2024-01-03,P3,1,0.08
92,2024-01-03,P2,1,0.07
93,2024-01-03,P13,3,0.08
94,2024-01-03,P6,2,0.17
95,2024-01-03,P1,2,0.03
96,2024-01-03,P2,1,0.09
97,2024-01-03,P5,1,0.1
98,2024-01-03,P3,1,0.14
99,2024-01-03,P13,3,0.11
100,2024-01-03,P13,1,0.16
101,2024-01-03,P8,1,0.08
102,2024-01-03,P5,4,0.02
103,2024-01-03,P15,4,0.18
104,2024-01-03,P8,2,0.14
105,2024-01-03,P9,2,0.07
106,2024-01-03,P3,3,0.09
107,2024-01-03,P9,1,0.11
108,2024-01-03,P6,1,0.12
109,2024-01-03,P10,1,0.06
110,2024-01-03,P4,1,0.07
111,2024-01-03,P6,1,0.1
112,2024-01-03,P9,1,0.13
113,2024-01-03,P7,4,0.1
114,2024-01-03,P14,1,0.12
115,2024-01-03,P4,1,0.12
116,2024-01-03,P4,1,0
117,2024-01-03,P14,3,0.18
118,2024-01-03,P13,1,0.03
119,2024-01-03,P6,1,0.03
120,2024-01-03,P2,1,0.1
121,2024-01-03,P12,2,0.18
122,2024-01-03,P5,1,0.13
123,2024-01-03,P4,1,0.08
124,2024-01-03,P15,1,0.08
125,2024-01-03,P7,2,0.09
126,2024-01-03,P10,1,0.16
127,2024-01-03,P7,3,0.05
128,2024-01-03,P15,1,0.07
129,2024-01-03,P8,2,0.09
130,2024-01-03,P4,4,0.08
131,2024-01-03,P4,1,0.07
132,2024-01-03,P13,1,0.09
133,2024-01-03,P9,1,0.09
134,2024-01-03,P9,2,0.08
135,2024-01-03,P9,1,0.11
136,2024-01-03,P2,1,0.07
137,2024-01-03,P13,3,0.13
138,2024-01-03,P5,1,0.1
139,2024-01-03,P7,2,0.07
140,2024-01-03,P7,1,0.1
141,2024-01-03,P5,1,0.03
142,2024-01-03,P12,1,0.08
143,2024-01-03,P10,4,0.06
144,2024-01-03,P15,2,0.1
145,2024-01-03,P5,1,0.13
146,2024-01-03,P12,1,0.03
147,2024-01-03,P3,1,0.08
